timestamp (μs),power (μA),pins (D0-D7)
17032,5.4590716,01000000
17060,5.270049,01000000
17187,5.2656527,01000000
17215,5.221694,01000000
17243,5.3140078,01000000
17362,5.173339,01000000
17390,5.1513596,01000000
17418,4.9403567,01000000
17445,4.6985826,01000000
17551,4.667812,01000000
17579,4.711771,01000000
17607,4.6897917,01000000
18134,4.58429,01000000
18162,4.755729,01000000
18189,4.6062694,01000000
18380,4.3644953,01000000
18409,4.333724,01000000
18436,4.31614,01000000
18552,4.135909,01000000
18581,4.034804,01000000
18608,3.9688652,01000000
18717,3.841385,01000000
18746,3.8633645,01000000
18775,4.0391994,01000000
18802,3.8809478,01000000
18908,3.784238,01000000
18936,3.7578628,01000000
18965,3.542464,01000000
19074,3.4237752,01000000
19102,3.5248806,01000000
19130,3.516089,01000000
19295,3.5292766,01000000
19322,3.4237752,01000000
19349,3.3270657,01000000
19456,3.2567315,01000000
19486,3.2303557,01000000
19512,3.0149577,01000000
19628,2.9709985,01000000
19658,3.160022,01000000
19684,3.1424382,01000000
19713,3.0852916,01000000
19816,2.9797902,01000000
19846,2.8479135,01000000
19873,2.9270396,01000000
19982,2.8654974,01000000
20012,2.9358315,01000000
20038,2.9138522,01000000
20150,2.8567057,01000000
20179,2.759996,01000000
20207,2.7863712,01000000
20369,2.6676822,01000000
20397,2.7863712,01000000
20423,2.5402017,01000000
20532,2.716037,01000000
20562,2.6017442,01000000
20588,2.4742634,01000000
20616,2.4171164,01000000
20729,2.5006385,01000000
20757,2.4434917,01000000
20785,2.4742632,01000000
20900,2.5445974,01000000
20930,2.478659,01000000
20957,2.35997,01000000
21492,2.3335948,01000000
21520,2.2720525,01000000
21548,2.0610495,01000000
21655,2.3116155,01000000
21683,2.0698414,01000000
21709,2.1357799,01000000
21930,2.2896357,01000000
21960,2.1357796,01000000
21987,2.0214868,01000000
22015,2.0698414,01000000
22121,1.9511524,01000000
22150,2.0170908,01000000
22178,2.0698414,01000000
22300,1.96434,01000000
22327,1.924777,01000000
22355,1.9687357,01000000
22480,2.0302782,01000000
22510,1.9027975,01000000
22537,1.8280675,01000000
22653,1.8368591,01000000
22683,1.845651,01000000
22709,1.7137743,01000000
22817,1.8896099,01000000
